Wall time,Step,Value
1649735851.6836944,746,0.1345658153295517
1649735933.0631893,751,0.12033481895923615
1649736022.9242043,752,0.09882880747318268
1649736206.708313,762,0.14067791402339935
1649736292.7281218,767,0.13667519390583038
1649736933.54393,794,0.141804501414299
1649737277.0648851,810,0.15002046525478363
1649737631.2236667,826,0.15803736448287964
1649737717.214787,831,0.1278911679983139
1649737802.3226702,832,0.1793866902589798
1649738169.0044606,848,0.1335008144378662
1649738259.9603345,853,0.13796888291835785
1649738349.6444645,858,0.1370309591293335
1649738433.886601,863,0.13473232090473175
1649738705.155782,874,0.13397559523582458
1649738787.0137472,879,0.14177043735980988
1649738974.63573,885,0.12619546055793762
1649739067.7597816,890,0.13897469639778137
1649739159.483627,895,0.13834741711616516
1649739349.429589,901,0.14591972529888153
1649739446.3056054,906,0.13167041540145874
1649739523.5988572,911,0.1342954933643341
1649739708.7743542,917,0.13454467058181763
1649739800.8703184,922,0.14334151148796082
1649739891.7424948,927,0.13542667031288147
1649739985.6350732,928,0.1395242065191269
1649740079.7612672,933,0.13199195265769958
1649740172.1006298,938,0.13762538135051727
1649740455.004839,949,0.14657363295555115
1649740546.6321816,954,0.11825913190841675
1649740721.5710678,960,0.12449631839990616
1649741090.6656191,976,0.14936986565589905
1649741183.4237878,981,0.14836236834526062
1649741365.2330296,991,0.12572599947452545
1649741463.7206438,992,0.12339530140161514
1649741555.8274481,997,0.13634516298770905
1649741651.294367,1002,0.13063396513462067
1649741736.2099478,1007,0.1456896960735321
1649742105.2308285,1023,0.13185131549835205
1649742386.2502394,1034,0.12892305850982666
1649742468.6033986,1039,0.13229578733444214
1649742558.3964336,1040,0.12046674638986588
1649742654.0923283,1045,0.12822049856185913
1649742837.1398695,1055,0.13721820712089539
1649743199.237279,1071,0.1491091251373291
1649743392.993144,1077,0.1437518447637558
1649743569.241254,1087,0.15186528861522675
1649743663.2480922,1088,0.11371101438999176
1649743753.0754776,1093,0.12856529653072357
1649743849.5672476,1098,0.1510726660490036
1649743937.723871,1103,0.13449589908123016
1649744121.1030562,1109,0.13786524534225464
1649744223.8896182,1114,0.1477799266576767
1649744391.4863527,1120,0.1321621984243393
1649744580.9744256,1130,0.12921033799648285
1649744763.4499755,1136,0.13833896815776825
1649745236.854601,1157,0.1422637403011322
1649745415.076479,1167,0.14494888484477997
1649745506.3938363,1168,0.11513471603393555
