Wall time,Step,Value
1649720139.454511,15,27.170623779296875
1649720294.2626126,21,29.113637924194336
1649720369.2728884,26,29.954238891601562
1649720520.8551953,32,28.755104064941406
1649720678.1524935,42,30.1575870513916
1649720748.6917286,47,29.69847297668457
1649720828.0107493,48,30.074474334716797
1649720906.8062963,53,30.517845153808594
1649720988.082078,58,29.76538848876953
1649721062.5736043,63,29.53658103942871
1649721137.6548672,64,28.254276275634766
1649721225.3979905,69,31.56134796142578
1649721301.44851,74,29.86488914489746
1649721375.2263184,79,29.63179588317871
1649721450.940462,80,29.2171573638916
1649721609.6055417,90,30.097126007080078
1649721773.730235,96,27.89544677734375
1649721855.1378434,101,32.065277099609375
1649722271.6151574,122,29.135025024414062
1649722345.7421427,127,30.9821720123291
1649722427.8872814,128,29.269397735595703
1649722513.8271465,133,29.163558959960938
1649722596.3142405,138,30.315393447875977
1649722761.775277,144,28.97197723388672
1649723020.8437824,159,30.046794891357422
1649723106.499069,160,29.37268829345703
1649723273.7982042,170,30.012001037597656
1649723355.220399,175,30.82345199584961
1649723439.569187,176,29.964073181152344
1649723522.963699,181,30.889911651611328
1649723692.7648194,191,30.275787353515625
1649723865.8555336,197,29.545089721679688
1649723947.2970216,202,30.831636428833008
1649724208.2992008,213,30.059917449951172
1649724299.5612433,218,30.69097328186035
1649724380.6908739,223,30.057249069213867
1649724473.5696962,224,27.72477912902832
1649724555.513119,229,30.453781127929688
1649724809.5490985,240,32.45399856567383
1649724897.996547,245,30.694808959960938
1649725070.0313385,255,30.69510841369629
1649725241.8411303,261,30.837230682373047
1649725338.0600402,266,30.783889770507812
1649725421.2123325,271,30.422992706298828
1649725510.226557,272,29.980066299438477
1649725600.23965,277,30.683319091796875
1649725767.496299,287,29.801607131958008
1649725859.9790943,288,29.4539737701416
1649725945.591114,293,30.755096435546875
1649726029.0484655,298,31.068143844604492
1649726200.5750892,304,30.509946823120117
1649726373.909905,314,31.310972213745117
1649726456.495648,319,29.561344146728516
1649726626.4853537,325,30.937294006347656
1649726888.9883437,336,30.958358764648438
1649726976.1464233,341,30.357046127319336
1649727064.6185832,346,30.97715950012207
1649727150.3288126,351,30.177165985107422
1649727235.7505999,352,32.26984405517578
1649727326.8707469,357,30.93890953063965
1649727495.243291,367,30.30394172668457
1649727757.9810166,378,30.53696632385254
1649728185.3870451,399,30.469873428344727
1649728452.9861724,410,30.576576232910156
1649728623.379416,416,29.879127502441406
1649728710.5084708,421,30.596166610717773
1649728796.8778467,426,32.08507537841797
1649729403.3453853,453,31.213409423828125
1649729665.5230615,464,29.152297973632812
1649729842.7135465,474,31.560714721679688
1649729922.3862567,479,30.575132369995117
1649730011.2928014,480,31.003408432006836
1649730346.26115,496,33.59193420410156
1649730429.8652143,501,30.12458038330078
1649730513.2570255,506,31.537921905517578
1649730781.6083505,517,30.57329559326172
1649730868.3985093,522,30.949241638183594
1649731120.5322392,533,30.713863372802734
1649731472.439984,549,30.218048095703125
1649731644.5499673,559,32.03859329223633
1649731822.0521202,565,30.3729248046875
1649731912.7241526,570,32.365509033203125
1649731998.3213172,575,30.2199764251709
1649732090.9203086,576,29.400325775146484
1649732178.1971552,581,30.056093215942383
1649732266.7800398,586,30.66800880432129
