Wall time,Step,Value
1649135494.0116222,38800,0.10601024329662323
1649135899.6541576,38820,0.10046684741973877
1649136333.5298092,38840,0.09776730835437775
1649136749.4385736,38860,0.09907818585634232
1649137236.1069698,38880,0.09021704643964767
1649137668.21667,38900,0.09442730247974396
1649138125.7774773,38920,0.0977240651845932
1649138567.1616077,38940,0.10544895380735397
1649139002.1869264,38960,0.1104208379983902
1649139457.9087706,38980,0.10541479289531708
1649139928.2873828,39000,0.11373160779476166
1649140398.3156123,39020,0.10650081187486649
1649140887.320978,39040,0.11462382227182388
1649141345.127091,39060,0.11000891029834747
1649141839.821755,39080,0.11751769483089447
1649142302.8458967,39100,0.12027003616094589
1649142753.347415,39120,0.11681874841451645
1649143237.6371584,39140,0.11834484338760376
1649143745.093124,39160,0.11901276558637619
1649144211.5349202,39180,0.11232184618711472
1649144679.600938,39200,0.1200970858335495
1649145151.2634008,39220,0.11778565496206284
1649145633.2729025,39240,0.1268661469221115
1649146108.6065056,39260,0.12555155158042908
1649146586.1703446,39280,0.12015008181333542
1649147082.8292842,39300,0.12130940705537796
1649147590.5196743,39320,0.12046170979738235
1649148075.778603,39340,0.12938709557056427
1649148554.0519223,39360,0.1190333217382431
1649149089.836609,39380,0.12096468359231949
1649149575.3840294,39400,0.12705276906490326
1649150090.3793762,39420,0.11297095566987991
1649150558.131067,39440,0.11706513166427612
1649151073.514659,39460,0.11922074854373932
1649151564.7023242,39480,0.11947290599346161
1649152040.4652631,39500,0.11950907111167908
1649152551.422663,39520,0.12099810689687729
1649153044.9170272,39540,0.11797415465116501
1649153512.1719942,39560,0.1160784661769867
1649154018.080721,39580,0.1083860695362091
1649154502.9755607,39600,0.1170153021812439
1649154994.8250563,39620,0.11692816764116287
1649155465.619103,39640,0.1156037375330925
1649155955.6864562,39660,0.10932905972003937
1649156427.034751,39680,0.10955507308244705
1649156939.4960246,39700,0.11928342282772064
1649157461.549622,39720,0.11031609028577805
1649157957.1538134,39740,0.09553732722997665
1649158488.491002,39760,0.09741029143333435
1649158977.6452012,39780,0.09435209631919861
1649159478.081401,39800,0.09422259032726288
1649159972.2817261,39820,0.09432142972946167
1649160479.8973687,39840,0.09443317353725433
1649160980.4503381,39860,0.09144942462444305
1649161482.0118248,39880,0.09647903591394424
1649161996.8702242,39900,0.09454371780157089
1649162477.0230508,39920,0.09397140890359879
1649162969.9343553,39940,0.104990653693676
1649163472.0592697,39960,0.09969816356897354
1649163967.8870487,39980,0.09807141125202179
