Wall time,Step,Value
1648964140.493809,71,2.285757361164542e-09
1648970682.5253675,72,6.257798168540774e-10
1648977243.9761324,73,1.6123512247556704e-10
1648983730.8685155,74,1.1525105175769212e-10
1648990250.0839074,75,1.7990002820766904e-09
1648996638.8961382,76,0.005935522727668285
1649003073.0721076,77,0.0003186984686180949
1649009459.2094188,78,2.3408405468217097e-05
1649015866.1634073,79,0.00018526482745073736
1649022283.0589828,80,4.088988862349652e-05
1649028685.257366,81,1.007793707685778e-05
1649035112.3646994,82,4.597045062837424e-06
1649041572.6972523,83,2.909266640926944e-06
1649047996.0870821,84,1.650745048209501e-06
1649054405.5104382,85,1.3924824315836304e-06
1649060834.8385277,86,9.158871421277581e-07
1649067290.2681453,87,9.672038459029864e-07
1649073720.3420644,88,6.80881669268274e-07
1649080157.6658854,89,4.4838270696345717e-07
1649086632.976323,90,2.9828368042217335e-07
1649093085.0147305,91,2.3433523210769636e-07
1649099524.181273,92,2.588406005088473e-07
1649105959.0409696,93,1.4807213233325456e-07
1649112561.2465253,94,1.284407744606142e-07
1649119984.7530046,95,1.288750013372919e-07
1649126730.4812264,96,4.830635020880436e-07
