Wall time,Step,Value
1648584465.848902,25,0.423016756772995
1648591214.40433,26,0.4359882175922394
1648598485.3947606,27,0.41560640931129456
1648605199.801042,28,0.419524222612381
1648611898.0247025,29,0.4204578697681427
1648618644.0551918,30,0.41923871636390686
1648625323.3987885,31,0.4160866439342499
1648631954.9624112,32,0.41625282168388367
1648638660.8460531,33,0.3869575560092926
1648645372.0656714,34,0.39687100052833557
1648652061.3244221,35,0.4054862856864929
1648658762.9702392,36,0.4057028889656067
1648665461.4181504,37,0.4061865210533142
1648672158.8740299,38,0.3880787193775177
1648678821.303061,39,0.39672380685806274
1648685493.1813564,40,0.3998938798904419
1648692177.725316,41,0.3993130028247833
1648698825.8467336,42,0.4043025076389313
1648705473.21078,43,0.4038556218147278
1648712059.884185,44,0.4050733149051666
1648718707.232013,45,0.4032016694545746
1648725320.3302608,46,0.40665164589881897
1648731929.0302436,47,0.40650373697280884
1648738572.161545,48,0.40407487750053406
1648745185.1079686,49,0.40764471888542175
