Wall time,Step,Value
1648584465.848225,25,0.005757986102253199
1648591214.4031458,26,0.00014956534141674638
1648598485.3940432,27,0.02130328305065632
1648605199.800379,28,0.00024081283481791615
1648611898.0238354,29,8.684900967637077e-05
1648618644.0543969,30,5.8932499086949974e-05
1648625323.398077,31,4.4217387767275795e-05
1648631954.9616656,32,3.258332435507327e-05
1648638660.845358,33,0.040150582790374756
1648645372.0648324,34,0.0020969242323189974
1648652061.3237517,35,0.0005825927946716547
1648658762.9695702,36,0.00016610397142358124
1648665461.4174829,37,0.00357005069963634
1648672158.872912,38,0.0013626560103148222
1648678821.3022006,39,0.00012476614210754633
1648685493.180627,40,4.46806698164437e-05
1648692177.7246468,41,5.835786942043342e-05
1648698825.8460438,42,1.8568753148429096e-05
1648705473.2100396,43,1.3221385415818077e-05
1648712059.8835232,44,7.463466317858547e-06
1648718707.2311897,45,1.6593990949331783e-05
1648725320.3295076,46,3.6363389881444164e-06
1648731929.0294514,47,3.0817227525403723e-06
1648738572.1608405,48,9.498174222244415e-06
1648745185.1071696,49,1.1229352821828797e-05
